Unnamed: 0,category_id
2619,1
16043,2
876,1
19963,3
10783,4
18522,5
270,6
7628,1
9599,4
11234,4
8071,1
6921,1
14878,4
1560,1
13064,5
15262,5
6587,1
11084,1
20663,5
13705,5
20185,5
20770,3
20860,5
5327,6
12539,5
10731,1
23108,7
16911,5
16473,2
7277,1
12525,5
436,6
4331,6
2559,1
3446,6
6944,1
9640,1
8326,1
10290,1
6912,6
14176,4
4159,6
15094,5
5522,1
4409,6
12068,4
11158,4
7212,1
21195,5
3938,1
8626,6
6747,1
18375,3
7990,1
15124,5
6449,1
8843,6
20691,5
13340,5
7556,6
19125,3
6604,1
14370,5
3060,6
4034,1
1686,6
2241,1
12177,5
1171,6
14427,5
3349,1
17512,5
3674,6
11298,5
13544,5
17488,5
17076,5
6937,1
10873,1
21297,3
22799,7
1061,1
2990,1
6348,1
19441,3
20549,3
21402,3
11546,4
17006,2
2675,6
2447,1
698,1
18296,5
1276,6
2913,6
19443,3
5927,1
6407,6
7922,6
2884,6
15505,5
5610,6
7599,1
6369,1
13095,5
22850,7
21512,3
3019,6
11525,5
8129,6
8096,1
10157,4
5193,6
6515,1
3454,1
1755,1
8920,6
2746,1
3690,6
6011,1
2010,1
7293,6
16022,2
20444,3
10410,1
4217,6
22501,8
13067,5
22352,8
3462,1
8907,1
21025,3
20869,5
77,1
22463,8
20984,3
3907,1
502,6
2892,6
9470,1
10212,4
2131,1
15178,4
6500,1
22818,7
12998,5
17844,3
21345,5
3058,1
16458,2
13591,5
21645,3
5734,6
11886,4
8282,1
9381,4
20297,3
11205,4
13410,4
1072,6
19007,3
9911,4
18970,5
17820,5
3425,6
9638,4
18527,3
2285,6
19182,3
8140,1
5832,6
11745,4
13481,4
9362,4
21891,3
15473,5
20321,5
15609,5
9314,1
12399,5
18490,3
16884,2
8385,6
20665,3
9942,1
22215,8
15024,4
7174,6
19328,3
5176,6
12915,5
9906,1
19070,3
19060,5
1860,1
15095,4
17875,3
17856,3
3557,6
6314,1
6997,6
8516,6
18979,3
4318,1
204,6
14552,5
4391,1
14212,5
8054,1
12018,5
17063,5
5964,6
23034,7
18778,3
13094,4
21058,3
641,1
13585,5
7159,1
9586,4
4598,6
13582,5
16242,5
11081,4
10390,1
17937,5
13235,5
7006,1
2310,6
4869,6
19835,3
13578,4
20694,3
11330,5
4194,6
5900,6
4516,6
17395,2
4661,1
11984,4
15759,4
15009,5
17325,5
8196,6
3381,6
13124,5
4934,1
17572,5
5455,1
10758,4
18091,5
22998,7
16844,2
8653,1
11541,4
15016,5
13297,4
10949,4
14417,4
5222,6
15953,5
8427,6
10407,4
15259,5
9784,4
15733,4
11455,5
16341,2
17912,3
3300,6
15882,4
16367,2
34,6
8140,6
17473,3
10626,4
8890,1
14418,4
15031,4
18053,3
13554,5
4067,6
7110,1
19124,5
17463,3
19458,3
16224,2
4031,1
12164,5
7331,1
18583,5
20377,5
16059,5
20730,3
1531,1
14983,5
19385,5
19999,3
10043,4
10182,4
4392,1
17480,3
9355,4
4780,1
11870,5
1100,1
15400,4
12389,5
17398,5
10026,1
13726,5
807,6
23346,7
9995,1
19173,5
18190,5
68,1
2257,1
10215,1
9543,1
20358,3
12080,4
3588,6
891,6
23322,7
18961,3
9219,4
14237,5
2777,1
9539,4
12349,5
11301,5
5653,6
7002,6
15723,5
1612,1
18245,5
20568,5
1707,6
6644,1
19697,3
3435,1
4937,6
11016,4
18206,5
199,6
8865,1
17036,5
18887,5
5311,6
15890,4
20987,3
21236,3
9206,4
19200,3
20640,5
14411,5
11802,5
17617,5
6058,1
2382,1
3341,1
1701,1
5934,6
10739,4
2860,6
2586,6
5185,1
9146,4
2007,1
17267,5
7294,1
12672,5
2555,6
21163,3
2256,1
2129,1
20451,5
17732,3
13772,4
261,6
4669,1
6673,1
18523,5
3486,1
3784,6
16892,5
734,1
4006,6
23127,7
18425,3
16015,2
19876,3
7015,6
3794,1
22636,8
21119,5
8932,6
15473,4
21007,3
19336,5
13599,5
2631,6
15437,4
1576,1
13132,5
14522,5
5679,1
7500,6
4226,1
4682,1
4379,6
8847,6
8601,1
15046,5
9811,1
20106,5
14581,5
2596,1
2608,1
15751,4
17479,5
22096,8
14343,4
11504,4
16439,2
21279,5
4342,1
21010,3
9938,4
21830,3
17527,5
22431,8
14448,5
12533,4
616,6
3043,6
1219,1
10839,4
6232,6
17253,2
18632,5
17537,3
8515,1
22647,8
249,1
22937,7
182,1
20894,3
3389,1
10842,1
9474,1
5925,1
8996,1
4706,1
14021,4
146,1
2253,6
12294,5
1149,1
9484,1
11954,4
17320,5
20666,3
4662,6
10446,1
16558,5
16472,5
203,1
12804,5
20385,5
7630,6
11496,4
15409,5
21348,3
15875,5
19469,3
17507,3
2133,6
894,6
8918,1
19153,3
16785,5
21003,3
20939,5
17108,2
20313,3
9500,1
9137,1
20999,5
18573,5
7086,1
6995,6
20553,3
12085,5
10866,4
19873,3
21779,3
17980,5
17386,2
19858,3
10695,1
4818,6
15962,5
17369,5
106,6
4831,6
9350,1
6550,6
14534,4
17515,5
13989,4
12941,5
21440,3
10109,1
21116,3
3529,6
4218,6
21124,3
3351,6
19831,5
10882,1
2,1
16685,5
14388,4
2932,6
920,6
15940,5
4158,6
10719,4
17944,5
20266,5
16212,5
16973,2
11277,5
21716,3
18348,5
13530,5
18062,3
1404,1
19944,3
9604,1
7345,6
20705,3
5049,6
7141,6
11495,5
8169,6
20296,5
165,1
11630,4
21888,3
18130,5
14239,5
20454,5
18982,5
3024,6
863,1
18231,5
15474,5
20773,5
21106,3
5165,6
3561,6
3757,1
18693,5
17755,3
10180,1
66,6
4399,6
22768,7
19305,3
5543,6
18086,3
8035,6
21158,5
3370,1
75,6
3547,6
20413,5
9972,1
3744,6
18007,3
4429,1
7683,6
2066,6
9304,4
23282,7
1233,1
13273,5
13931,4
15335,4
8807,6
12615,5
4041,1
5154,6
19023,5
17558,3
1322,1
5929,1
5798,1
307,1
1302,1
4703,1
703,6
2484,1
6949,6
3048,1
8942,1
515,1
5983,6
7863,1
12308,5
2936,6
10895,4
3973,1
16617,5
13600,5
19126,3
19759,3
15816,5
19976,3
13256,5
18717,3
16434,2
5848,1
18385,5
53,6
773,1
20,1
8281,1
5422,6
8187,1
4030,6
9223,4
10596,1
16935,5
4880,1
22781,7
15290,5
17740,5
12599,4
2326,6
8127,6
16349,2
4728,1
14317,5
11044,4
16062,5
1246,6
4929,6
15664,5
16060,2
4812,1
10307,1
5975,6
17453,5
3733,1
14803,4
14002,5
16832,5
20743,3
18645,5
2378,1
22221,8
15101,4
4523,6
7285,6
21958,8
7880,6
21831,3
7387,6
1018,1
23348,7
8655,6
4413,1
16432,5
10427,4
6280,1
3530,6
16463,2
2867,6
7716,1
